File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java,1,336,25,1,0,1,17,17,17,9,9,9,58,58,9,1547,4.604167,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,1,961,100,4,1,3,64,29,16,28,27,7,62,58,7,1547,1.609781,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,1,70,6,1,1,1,6,6,6,6,6,6,12,12,6,1547,22.1,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,10.59589,TRUE
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/datacache/TestDataCacheOptimisticLockRecovery.java,1,147,44,2,1,1,36,28,18,28,25,14,134,130,14,1547,10.52381,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,1,104,2,1,1,1,1,1,1,0,0,0,11,11,0,1547,14.875,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,1,52,1,1,1,1,1,1,1,1,1,1,11,11,1,1547,29.75,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,7.62069,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,1,3044,125,3,1,2,112,99,37.333333,99,95,33,71,58,33,1547,0.508213,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java,1,1474,15,2,1,2,10,8,5,5,4,2.5,116,87,2.5,1547,1.049525,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,1,496,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,3.118952,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,1,368,11,1,1,1,11,11,11,11,11,11,12,12,11,1547,4.203804,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,41.810811,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/meta/InheritanceComparator.java,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,16.815217,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,1,176,30,2,1,2,12,11,6,-6,0,-3,16,15,-3,1547,8.789773,TRUE
openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xml/SimpleXmlEntity.java,1,34,6,1,1,1,5,5,5,4,4,4,4,4,4,1547,45.5,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/event/JMSRemoteCommitProvider.java,1,275,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,5.625455,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,1,613,2,1,1,1,0,0,0,-4,0,-4,12,12,-4,1547,2.523654,TRUE
openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/FileMetaDataIterator.java,1,162,41,3,2,2,34,21,11.333333,27,18,9,122,87,9,1547,9.549383,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,1,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,1.019104,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheScheduler.java,1,246,5,1,0,1,2,2,2,-1,0,-1,3,3,-1,1547,6.288618,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,10.971631,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,35.976744,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,1,371,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,4.169811,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,1,707,37,1,1,1,35,35,35,33,33,33,15,15,33,1547,2.188119,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataTool.java,1,348,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,4.445402,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,7.09633,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java,1,334,10,1,0,1,7,7,7,4,4,4,58,58,4,1547,4.631737,TRUE
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java,1,196,1,1,0,1,1,1,1,1,1,1,20,20,1,1547,7.892857,TRUE
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,5.90458,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,1,556,49,3,3,3,35,17,11.666667,21,13,7,107,87,7,1547,2.782374,TRUE
openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,1,594,110,3,1,3,107,99,35.666667,104,99,34.666667,174,87,34.666667,1547,2.604377,TRUE
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,1,702,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,2.203704,TRUE
