File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1.71028,TRUE
console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2.772727,TRUE
core/src/test/java/org/apache/syncope/core/persistence/dao/ConnInstanceTest.java,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1.326087,TRUE
core/src/main/java/org/apache/syncope/core/persistence/validation/entity/AttrValidator.java,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2.904762,TRUE
core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractVirSchema.java,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3.155172,TRUE
console/src/main/java/org/apache/syncope/console/pages/Tasks.java,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.879808,TRUE
console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2.231707,TRUE
core/src/main/java/org/apache/syncope/core/persistence/validation/entity/SchedTaskValidator.java,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2.577465,TRUE
core/src/main/java/org/apache/syncope/core/persistence/dao/AttrDAO.java,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,183,5.083333,TRUE
console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java,1,643,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.284603,TRUE
core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSchema.java,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.746939,TRUE
console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1.407692,TRUE
core/src/main/java/org/apache/syncope/core/persistence/dao/ConfDAO.java,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,183,5.083333,TRUE
core/src/main/java/org/apache/syncope/core/init/ImplementationClassNamesLoader.java,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1.429688,TRUE
console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/FieldPanel.java,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.85514,TRUE
core/src/main/java/org/apache/syncope/core/persistence/beans/role/SyncopeRole.java,1,483,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.378882,TRUE
console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java,1,611,224,14,0,1,112,8,8,0,0,0,1721,130,0,183,0.299509,TRUE
core/src/main/java/org/apache/syncope/core/persistence/validation/attrvalue/InvalidAttrValueException.java,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,183,4.463415,TRUE
core/src/test/java/org/apache/syncope/core/rest/UserTestITCase.java,1,2075,3469,17,0,1,1664,249,97.882353,-141,177,-8.294118,1738,130,-8.294118,183,0.088193,TRUE
console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2.541667,TRUE
console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java,1,312,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0.586538,TRUE
