@relation TEZ_train_noise.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
654,144,5,1,1,99,57,19.8,54,28,10.8,74,25,10.8,67283,102.879205,TRUE
326,77,2,2,1,76,40,38.0,75,40,37.5,6,3,37.5,67283,206.389571,TRUE
99,9,1,1,1,7,7,7.0,5,5,5.0,9,9,5.0,67283,679.626263,TRUE
585,429,3,2,1,24,14,8.0,-381,11,-127.0,19,13,-127.0,67283,115.013675,TRUE
87,6,1,1,1,5,5,5.0,4,4,4.0,3,3,4.0,67283,773.3678160000001,TRUE
851,16,3,2,2,13,11,4.3333330000000005,10,10,3.333333,25,13,3.333333,67283,79.063455,TRUE
70,46,3,1,2,26,18,8.666667,6,6,2.0,52,22,2.0,67283,961.1857140000001,TRUE
294,177,12,4,3,127,28,12.7,33,26,2.75,150,48,2.75,67283,228.853741,TRUE
154,17,3,1,2,10,5,3.333333,3,3,1.0,74,33,1.0,67283,436.90259699999996,TRUE
569,369,3,2,1,24,14,8.0,-321,11,-107.0,19,13,-107.0,67283,118.247803,TRUE
130,176,6,1,3,72,41,12.0,-32,16,-5.3333330000000005,129,48,-5.3333330000000005,67283,517.561538,TRUE
123,3,1,1,1,2,2,2.0,1,1,1.0,9,9,1.0,67283,547.01626,TRUE
85,5,1,1,1,3,3,3.0,1,1,1.0,9,9,1.0,67283,791.564706,TRUE
219,23,7,3,2,15,5,2.5,6,3,0.857143,145,33,0.857143,67283,307.22831099999996,TRUE
1706,995,17,7,3,824,314,48.470588,653,308,38.411765,234,48,38.411765,67283,39.439039,TRUE
85,34,3,0,1,27,22,13.5,19,18,6.3333330000000005,63,25,6.3333330000000005,67283,791.564706,TRUE
627,174,9,3,2,150,39,16.666667,126,38,14.0,115,26,14.0,67283,107.30941000000001,TRUE
155,17,1,1,1,16,16,16.0,15,15,15.0,9,9,15.0,67283,434.083871,TRUE
533,28,2,1,1,27,26,13.5,26,26,13.0,36,23,13.0,67283,126.234522,TRUE
1701,95,7,4,3,74,35,10.571429,53,34,7.571428999999999,62,22,7.571428999999999,67283,39.554968,TRUE
157,45,3,1,2,40,20,13.333332999999998,35,19,11.666667,63,25,11.666667,67283,428.55414,TRUE
89,24,3,2,2,12,8,6.0,-1,6,-0.333333,59,32,-0.333333,67283,755.988764,TRUE
692,166,7,2,3,38,33,7.6,-194,17,-27.714285999999998,94,32,-27.714285999999998,67283,97.22976899999999,TRUE
105,21,1,1,1,17,17,17.0,13,13,13.0,3,3,13.0,67283,640.790476,TRUE
