@relation OPENJPA_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
336,25,1,0,1,17,17,17.0,9,9,9.0,58,58,9.0,1547,4.6041669999999995,TRUE
961,100,4,1,3,64,29,16.0,28,27,7.0,62,58,7.0,1547,1.609781,TRUE
70,6,1,1,1,6,6,6.0,6,6,6.0,12,12,6.0,1547,22.1,TRUE
146,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,10.595889999999999,TRUE
147,44,2,1,1,36,28,18.0,28,25,14.0,134,130,14.0,1547,10.523810000000001,TRUE
104,2,1,1,1,1,1,1.0,0,0,0.0,11,11,0.0,1547,14.875,TRUE
52,1,1,1,1,1,1,1.0,1,1,1.0,11,11,1.0,1547,29.75,TRUE
203,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,7.62069,TRUE
3044,125,3,1,2,112,99,37.333333,99,95,33.0,71,58,33.0,1547,0.508213,TRUE
1474,15,2,1,2,10,8,5.0,5,4,2.5,116,87,2.5,1547,1.049525,TRUE
496,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,3.118952,TRUE
368,11,1,1,1,11,11,11.0,11,11,11.0,12,12,11.0,1547,4.203804,TRUE
37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,41.810811,TRUE
92,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,16.815217,TRUE
176,30,2,1,2,12,11,6.0,-6,0,-3.0,16,15,-3.0,1547,8.789773,TRUE
34,6,1,1,1,5,5,5.0,4,4,4.0,4,4,4.0,1547,45.5,TRUE
275,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,5.6254550000000005,TRUE
613,2,1,1,1,0,0,0.0,-4,0,-4.0,12,12,-4.0,1547,2.523654,TRUE
162,41,3,2,2,34,21,11.333333,27,18,9.0,122,87,9.0,1547,9.549383,TRUE
1518,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,1.019104,TRUE
246,5,1,0,1,2,2,2.0,-1,0,-1.0,3,3,-1.0,1547,6.288618,TRUE
141,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,10.971631,TRUE
43,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,35.976744000000004,TRUE
371,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,4.169811,TRUE
707,37,1,1,1,35,35,35.0,33,33,33.0,15,15,33.0,1547,2.188119,TRUE
348,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,4.445402,TRUE
218,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,7.09633,TRUE
334,10,1,0,1,7,7,7.0,4,4,4.0,58,58,4.0,1547,4.631737,TRUE
196,1,1,0,1,1,1,1.0,1,1,1.0,20,20,1.0,1547,7.892857000000001,TRUE
262,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1547,5.90458,TRUE
556,49,3,3,3,35,17,11.666667,21,13,7.0,107,87,7.0,1547,2.7823740000000003,TRUE
594,110,3,1,3,107,99,35.666667,104,99,34.666667,174,87,34.666667,1547,2.604377,TRUE
