@relation ZOOKEEPER_train_noise_1.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
176,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,2923.818182,TRUE
289,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1780.5951559999999,TRUE
168,6,2,2,2,1,1,1.0,-7,0,-3.5,13,8,-3.5,514592,3063.047619,TRUE
1132,110,1,0,1,33,33,33.0,-44,0,-44.0,7,7,-44.0,514592,454.586572,TRUE
736,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,699.173913,TRUE
865,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,594.904046,TRUE
840,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,612.6095240000001,TRUE
1653,24,1,0,1,20,20,20.0,16,16,16.0,7,7,16.0,514592,311.307925,TRUE
124,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4149.9354840000005,TRUE
733,3,1,1,1,0,0,0.0,-6,0,-6.0,5,5,-6.0,514592,702.035471,TRUE
64,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,8040.5,TRUE
107,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4809.271028,TRUE
842,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,611.154394,TRUE
332,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1549.975904,TRUE
376,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1368.5957449999999,TRUE
190,2,1,1,1,1,1,1.0,0,0,0.0,8,8,0.0,514592,2708.3789469999997,TRUE
115,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4474.713043,TRUE
170,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3027.0117649999997,TRUE
107,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4809.271028,TRUE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,7567.529412000001,TRUE
516,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,997.271318,TRUE
208,9,1,1,1,5,5,5.0,1,1,1.0,4,4,1.0,514592,2474.0,TRUE
377,61,2,2,2,58,58,58.0,53,57,26.5,13,8,26.5,514592,1364.965517,TRUE
232,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,2218.068966,TRUE
464,45,1,1,1,37,37,37.0,29,29,29.0,8,8,29.0,514592,1109.034483,TRUE
960,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,536.033333,TRUE
609,5,1,1,1,4,4,4.0,3,3,3.0,3,3,3.0,514592,844.9786539999999,TRUE
296,2,1,1,1,1,1,1.0,0,0,0.0,3,3,0.0,514592,1738.486486,TRUE
60,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,8576.533333,TRUE
396,6,1,1,1,5,5,5.0,4,4,4.0,4,4,4.0,514592,1299.474747,TRUE
318,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1618.213836,TRUE
377,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1364.965517,TRUE
529,65,1,1,1,30,30,30.0,-5,0,-5.0,8,8,-5.0,514592,972.7637050000001,TRUE
1123,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,458.229742,TRUE
592,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,869.243243,TRUE
146,67,1,1,1,49,49,49.0,31,31,31.0,3,3,31.0,514592,3524.60274,TRUE
237,24,1,1,1,22,22,22.0,20,20,20.0,8,8,20.0,514592,2171.274262,TRUE
147,6,2,2,2,1,1,1.0,-7,0,-3.5,13,8,-3.5,514592,3500.62585,TRUE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4360.9491530000005,TRUE
1194,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,430.981575,TRUE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4360.9491530000005,TRUE
78,3,1,1,1,2,2,2.0,1,1,1.0,3,3,1.0,514592,6597.333333,TRUE
176,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,3.676136,TRUE
289,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,2.238754,TRUE
164,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,3.945122,TRUE
1088,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.594669,TRUE
736,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.879076,TRUE
865,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.747977,TRUE
840,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.770238,TRUE
1669,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.38765700000000003,TRUE
124,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,5.217741999999999,TRUE
730,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.886301,TRUE
64,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,10.109375,TRUE
107,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,6.046729,TRUE
842,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.768409,TRUE
332,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.948795,TRUE
376,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.720745,TRUE
115,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,5.626087,TRUE
170,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,3.805882,TRUE
107,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,6.046729,TRUE
107,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,6.046729,TRUE
68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,9.514706,TRUE
516,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.253876,TRUE
432,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.497685,TRUE
232,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,2.788793,TRUE
960,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.673958,TRUE
612,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.05719,TRUE
296,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,2.185811,TRUE
60,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,10.783333,TRUE
318,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,2.034591,TRUE
377,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.7161799999999998,TRUE
524,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.234733,TRUE
1123,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.5761350000000001,TRUE
592,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,1.092905,TRUE
143,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,4.524476,TRUE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,5.483051000000001,TRUE
1194,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,0.541876,TRUE
118,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,647,5.483051000000001,TRUE
176,25,3,2,2,13,7,4.3333330000000005,1,1,0.333333,147,143,0.333333,7480,42.5,TRUE
289,156,6,2,5,117,98,19.5,78,79,13.0,184,143,13.0,7480,25.882353,TRUE
164,27,5,3,5,15,8,3.75,1,5,0.2,216,143,0.2,7480,45.609756,TRUE
1088,335,8,4,4,277,155,34.625,219,135,27.375,190,143,27.375,7480,6.875,TRUE
736,171,8,5,6,131,84,18.714285999999998,88,75,11.0,223,143,11.0,7480,10.163043,TRUE
865,193,8,3,5,134,52,16.75,75,52,9.375,245,143,9.375,7480,8.647399,TRUE
840,33,6,1,5,24,8,4.0,15,7,2.5,205,143,2.5,7480,8.904762,TRUE
1669,439,8,3,5,258,139,36.857143,-6,135,-0.75,188,143,-0.75,7480,4.481726,TRUE
124,13,2,1,2,7,4,3.5,1,1,0.5,162,143,0.5,7480,60.32258100000001,TRUE
730,219,5,2,5,186,147,46.5,151,124,30.2,187,143,30.2,7480,10.246575,TRUE
64,33,4,1,2,26,18,6.5,19,18,4.75,170,143,4.75,7480,116.875,TRUE
107,13,3,1,3,5,3,2.5,-5,1,-1.666667,195,143,-1.666667,7480,69.906542,TRUE
842,326,6,2,4,187,105,37.4,40,53,6.6666669999999995,211,143,6.6666669999999995,7480,8.883610000000001,TRUE
332,12,4,1,3,5,3,1.666667,-3,1,-0.75,198,143,-0.75,7480,22.53012,TRUE
376,92,5,1,4,70,50,17.5,46,49,9.2,219,143,9.2,7480,19.893617000000003,TRUE
115,43,3,1,3,31,28,15.5,17,20,5.6666669999999995,196,143,5.6666669999999995,7480,65.04347800000001,TRUE
170,24,3,1,2,14,8,4.6666669999999995,4,5,1.333333,30,19,1.333333,7480,44.0,TRUE
107,40,3,1,3,37,28,12.333333,34,27,11.333333,182,143,11.333333,7480,69.906542,TRUE
107,274,6,3,3,254,125,42.333333,234,123,39.0,54,23,39.0,7480,69.906542,TRUE
68,61,2,1,1,49,31,24.5,37,26,18.5,27,14,18.5,7480,110.0,TRUE
516,516,10,4,5,348,243,38.666667,176,192,17.6,251,143,17.6,7480,14.496123999999998,TRUE
432,85,5,3,4,61,38,12.2,37,29,7.4,199,143,7.4,7480,17.314815,TRUE
232,64,5,1,4,44,32,11.0,22,17,4.4,210,143,4.4,7480,32.241378999999995,TRUE
960,219,12,6,6,187,111,17.0,154,99,12.833333,276,143,12.833333,7480,7.7916669999999995,TRUE
612,55,6,4,4,43,28,8.6,30,26,5.0,202,143,5.0,7480,12.222222,TRUE
296,105,6,2,4,76,51,12.666667,47,46,7.8333330000000005,185,143,7.8333330000000005,7480,25.27027,TRUE
60,2,1,1,1,1,1,1.0,0,0,0.0,19,19,0.0,7480,124.66666699999999,TRUE
318,89,7,3,5,44,14,7.3333330000000005,-2,10,-0.28571399999999997,198,143,-0.28571399999999997,7480,23.522013,TRUE
377,11,2,1,2,5,3,2.5,-1,1,-0.5,162,143,-0.5,7480,19.840849,TRUE
524,153,8,5,5,120,54,17.142857,86,50,10.75,239,143,10.75,7480,14.274809,TRUE
1123,47,6,3,3,40,26,6.6666669999999995,33,25,5.5,188,143,5.5,7480,6.66073,TRUE
592,35,5,2,4,16,7,3.2,-3,2,-0.6,196,143,-0.6,7480,12.635135,TRUE
143,12,3,1,2,2,1,1.0,-10,0,-3.333333,65,33,-3.333333,7480,52.307691999999996,TRUE
118,5,1,0,1,3,3,3.0,1,1,1.0,143,143,1.0,7480,63.38983100000001,TRUE
1194,414,13,5,6,249,94,20.75,53,89,4.076923000000001,254,143,4.076923000000001,7480,6.264657,TRUE
118,7,2,1,2,4,3,2.0,1,1,0.5,162,143,0.5,7480,63.38983100000001,TRUE
827,9,2,2,2,5,3,2.5,1,1,0.5,8,4,0.5,565,0.683192,TRUE
855,27,1,1,1,20,20,20.0,13,13,13.0,2,2,13.0,565,0.6608189999999999,TRUE
260,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,565,2.173077,TRUE
119,9,1,1,1,5,5,5.0,1,1,1.0,4,4,1.0,565,4.747898999999999,TRUE
469,22,1,1,1,17,17,17.0,12,12,12.0,4,4,12.0,565,1.204691,TRUE
460,10,1,1,1,6,6,6.0,2,2,2.0,2,2,2.0,565,1.228261,TRUE
589,2,1,1,1,1,1,1.0,0,0,0.0,4,4,0.0,565,0.959253,TRUE
385,144,2,1,1,82,77,41.0,20,20,10.0,6,4,10.0,565,1.467532,TRUE
119,2,1,1,1,0,0,0.0,-4,0,-4.0,1,1,-4.0,565,4.747898999999999,TRUE
315,381,3,2,3,362,255,120.66666699999999,343,246,114.33333300000001,19,11,114.33333300000001,565,1.7936509999999999,TRUE
260,16,1,1,1,15,15,15.0,14,14,14.0,6,6,14.0,253834,976.284615,TRUE
44,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,11695.27273,FALSE
117,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4398.222222,FALSE
161,9,1,0,1,9,9,9.0,9,9,9.0,10,10,9.0,514592,3196.223602,FALSE
76,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,6770.947368000001,FALSE
40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,12864.8,FALSE
38,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,13541.89474,FALSE
120,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4288.266667,FALSE
143,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3598.5454549999995,FALSE
130,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3958.4,FALSE
305,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1687.186885,FALSE
74,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,6953.945945999999,FALSE
315,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1633.625397,FALSE
106,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4854.641509,FALSE
56,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,9189.142856999999,FALSE
132,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3898.424242,FALSE
129,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3989.085271,FALSE
457,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1126.021882,FALSE
209,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,2462.162679,FALSE
30,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,17153.06667,FALSE
28,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,18378.28571,FALSE
833,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,617.757503,FALSE
326,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1578.503067,FALSE
72,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,7147.111111,FALSE
108,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4764.740741,FALSE
51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,10090.03922,FALSE
153,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3363.346405,FALSE
53,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,9709.283019,FALSE
140,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3675.657143,FALSE
31,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,16599.74194,FALSE
410,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1255.102439,FALSE
138,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3728.927536,FALSE
271,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1898.8634690000001,FALSE
32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,16081.0,FALSE
168,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3063.047619,FALSE
71,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,7247.7746480000005,FALSE
583,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,882.6620929999999,FALSE
99,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,5197.89899,FALSE
536,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,960.059701,FALSE
103,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4996.038835,FALSE
103,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4996.038835,FALSE
87,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,5914.850575,FALSE
113,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,4553.911504,FALSE
176,28,2,0,2,15,15,15.0,-8,12,-4.0,13,10,-4.0,514592,2923.818182,FALSE
129,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3989.085271,FALSE
134,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3840.2388060000003,FALSE
57,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,9027.929825,FALSE
60,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,8576.533333,FALSE
50,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,10291.84,FALSE
67,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,7680.477612000001,FALSE
325,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1583.36,FALSE
381,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1350.6351710000001,FALSE
46,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,11186.78261,FALSE
762,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,675.317585,FALSE
478,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1076.552301,FALSE
133,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,3869.112782,FALSE
282,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,1824.7943260000002,FALSE
67,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,7680.477612000001,FALSE
25,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,20583.68,FALSE
61,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,514592,8435.934426,FALSE
