issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
FLUME-2016,Bug,Unresolved,Open,2013-04-22 21:07:19,
FLUME-2017,Improvement,Unresolved,Open,2013-04-23 04:38:49,
FLUME-2018,Bug,Unresolved,Open,2013-04-23 05:27:19,
FLUME-2019,Question,Fixed,Resolved,2013-04-23 14:40:52,2013-04-24 00:53:27
FLUME-2020,Documentation,Unresolved,Open,2013-04-23 22:26:31,
FLUME-2021,Task,Unresolved,Open,2013-04-23 22:46:30,
FLUME-2022,Question,Invalid,Resolved,2013-04-24 15:09:45,2013-07-05 16:22:40
FLUME-2023,Bug,Fixed,Resolved,2013-04-25 07:16:16,2013-04-25 17:33:44
FLUME-2024,Bug,Fixed,Resolved,2013-04-26 02:22:24,2014-06-14 10:48:55
FLUME-2025,Bug,Fixed,Resolved,2013-04-26 14:01:26,2013-06-14 09:04:03
FLUME-2026,Bug,Fixed,Resolved,2013-04-27 02:02:19,2013-06-23 19:11:10
FLUME-2027,Bug,Fixed,Resolved,2013-04-27 03:01:30,2013-05-07 11:48:01
FLUME-2028,Bug,Duplicate,Resolved,2013-04-27 05:24:13,2013-05-09 07:54:31
FLUME-2029,Bug,Unresolved,Open,2013-04-27 05:28:11,
FLUME-2030,Documentation,Fixed,Resolved,2013-04-27 19:58:40,2013-05-07 14:43:45
FLUME-2031,Improvement,Not A Problem,Resolved,2013-04-29 12:54:12,2016-07-23 16:24:25
FLUME-2032,Bug,Fixed,Resolved,2013-05-02 15:04:40,2013-06-14 08:25:51
FLUME-2033,Bug,Unresolved,Open,2013-05-03 03:16:51,
FLUME-2034,New Feature,Implemented,Resolved,2013-05-03 07:43:10,2016-07-23 16:55:45
FLUME-2035,New Feature,Unresolved,Open,2013-05-07 00:46:28,
FLUME-2036,Bug,Fixed,Resolved,2013-05-08 04:48:49,2013-05-09 07:21:44
FLUME-2037,Bug,Unresolved,Patch Available,2013-05-08 14:01:59,
FLUME-2038,Brainstorming,Unresolved,Open,2013-05-09 03:24:28,
FLUME-2039,New Feature,Unresolved,Open,2013-05-09 04:13:00,
FLUME-2040,Improvement,Unresolved,Patch Available,2013-05-09 15:14:26,
FLUME-2041,Bug,Not A Problem,Resolved,2013-05-09 23:23:32,2014-03-12 12:34:07
FLUME-2042,Bug,Fixed,Resolved,2013-05-10 07:41:50,2013-05-12 05:40:07
FLUME-2043,Bug,Fixed,Resolved,2013-05-11 12:43:36,2013-05-11 14:48:02
FLUME-2044,Bug,Fixed,Resolved,2013-05-15 09:15:05,2013-05-15 13:37:30
FLUME-2045,Documentation,Unresolved,Open,2013-05-16 02:09:00,
FLUME-2046,Improvement,Fixed,Resolved,2013-05-18 02:24:37,2013-05-18 09:14:42
FLUME-2047,Bug,Duplicate,Resolved,2013-05-21 21:25:24,2013-05-30 04:33:53
FLUME-2048,New Feature,Fixed,Resolved,2013-05-22 15:49:59,2013-06-20 04:36:24
FLUME-2049,Improvement,Fixed,Resolved,2013-05-23 00:32:07,2013-06-22 09:28:22
FLUME-2050,Improvement,Fixed,Resolved,2013-05-23 01:14:02,2017-11-25 04:29:44
FLUME-2051,Bug,Fixed,Resolved,2013-05-24 10:23:08,2013-06-22 03:28:49
FLUME-2052,Improvement,Fixed,Resolved,2013-05-24 23:04:57,2013-09-29 00:36:43
FLUME-2053,Bug,Duplicate,Resolved,2013-05-29 03:38:26,2016-11-24 01:30:16
FLUME-2054,Bug,Fixed,Resolved,2013-05-29 13:51:50,2013-05-30 00:05:55
FLUME-2055,Bug,Unresolved,Open,2013-05-29 20:48:30,
FLUME-2056,New Feature,Fixed,Resolved,2013-05-30 07:46:42,2013-12-17 08:48:39
FLUME-2057,Bug,Fixed,Resolved,2013-05-30 10:04:11,2013-06-19 08:20:44
FLUME-2058,Sub-task,Unresolved,Patch Available,2013-05-30 12:21:55,
FLUME-2059,New Feature,Unresolved,Open,2013-05-31 01:52:13,
FLUME-2060,Bug,Fixed,Resolved,2013-05-31 03:03:29,2013-06-19 08:57:45
FLUME-2061,Task,Not A Problem,Resolved,2013-05-31 17:50:52,2013-06-07 14:51:48
FLUME-2062,Improvement,Fixed,Resolved,2013-05-31 23:55:55,2013-06-01 03:39:54
FLUME-2063,Improvement,Fixed,Resolved,2013-06-01 02:54:53,2013-06-03 08:03:53
FLUME-2064,Documentation,Fixed,Resolved,2013-06-03 04:42:29,2013-10-22 03:16:39
FLUME-2065,Documentation,Fixed,Resolved,2013-06-03 07:27:51,2013-11-07 11:40:03
FLUME-2066,Bug,Unresolved,Open,2013-06-04 00:37:39,
FLUME-2067,Bug,Invalid,Closed,2013-06-04 05:28:48,2013-06-12 00:51:45
FLUME-2068,Bug,Unresolved,Patch Available,2013-06-05 04:54:48,
FLUME-2069,Bug,Unresolved,Open,2013-06-06 00:07:56,
FLUME-2070,New Feature,Fixed,Resolved,2013-06-06 05:37:37,2013-06-18 15:36:12
FLUME-2071,New Feature,Fixed,Resolved,2013-06-06 05:53:05,2018-11-14 21:53:18
FLUME-2072,Bug,Fixed,Resolved,2013-06-06 10:24:32,2013-06-08 05:57:09
FLUME-2073,Improvement,Unresolved,Open,2013-06-07 05:03:25,
FLUME-2074,Bug,Unresolved,Open,2013-06-07 10:43:42,
FLUME-2075,Bug,Won't Fix,Closed,2013-06-08 03:01:42,2013-06-18 05:59:10
FLUME-2076,Improvement,Fixed,Resolved,2013-06-09 12:24:35,2013-06-24 04:37:23
FLUME-2077,Umbrella,Unresolved,Open,2013-06-12 11:45:30,
FLUME-2078,New Feature,Duplicate,Resolved,2013-06-12 11:48:46,2014-04-04 11:18:29
FLUME-2079,Sub-task,Unresolved,Open,2013-06-12 11:51:59,
FLUME-2080,Sub-task,Unresolved,Open,2013-06-12 11:52:58,
