issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
MNG-5154,Bug,Not A Problem,Closed,2011-08-12 05:14:41,2011-08-12 12:48:03
MNG-5155,Bug,Fixed,Closed,2011-08-13 16:33:38,2011-08-19 16:18:05
MNG-5156,Bug,Not A Problem,Closed,2011-08-16 23:05:05,2011-08-17 13:06:25
MNG-5157,Bug,Fixed,Closed,2011-08-17 12:51:01,2011-08-17 14:03:29
MNG-5158,Improvement,Fixed,Closed,2011-08-19 10:25:07,2011-08-19 10:27:42
MNG-5159,Improvement,Fixed,Closed,2011-08-19 11:09:26,2011-08-19 11:11:40
MNG-5162,Bug,Not A Problem,Closed,2011-08-22 14:18:42,2012-10-25 08:30:24
MNG-5163,Bug,Fixed,Closed,2011-08-25 01:18:55,2011-09-04 14:18:00
MNG-5164,Bug,Fixed,Closed,2011-08-25 03:10:45,2011-09-04 14:21:14
MNG-5165,Bug,Fixed,Closed,2011-08-26 08:56:35,2011-09-23 04:35:53
MNG-5166,Bug,Incomplete,Closed,2011-08-26 16:04:04,2014-01-23 04:32:00
MNG-5167,New Feature,Won't Fix,Closed,2011-08-26 20:31:50,2014-01-19 21:34:51
MNG-5168,Bug,Incomplete,Closed,2011-08-27 18:43:10,2014-01-23 04:31:23
MNG-5169,New Feature,Incomplete,Closed,2011-08-30 20:47:10,2014-01-23 04:31:35
MNG-5170,Improvement,Incomplete,Closed,2011-09-07 14:41:58,2014-01-23 04:31:41
MNG-5171,Improvement,Incomplete,Closed,2011-09-09 04:41:08,2014-01-23 04:32:13
MNG-5172,New Feature,Incomplete,Closed,2011-09-12 19:36:34,2014-01-23 04:31:32
MNG-5173,Wish,Won't Fix,Closed,2011-09-13 22:00:06,2011-09-14 04:15:03
MNG-5174,Bug,Cannot Reproduce,Closed,2011-09-15 01:11:44,2011-09-15 16:10:53
MNG-5175,Improvement,Fixed,Closed,2011-09-17 20:43:36,2011-11-24 18:57:16
MNG-5176,Improvement,Fixed,Closed,2011-09-19 15:28:14,2014-02-09 13:19:10
MNG-5177,Bug,Won't Fix,Closed,2011-09-20 18:11:01,2012-10-22 23:00:18
MNG-5178,Wish,Incomplete,Closed,2011-09-27 21:09:20,2014-01-23 04:31:31
MNG-5180,Bug,Unresolved,Reopened,2011-10-03 13:37:58,
MNG-5181,Improvement,Fixed,Closed,2011-10-06 23:29:00,2013-02-01 01:43:37
MNG-5182,Bug,Incomplete,Closed,2011-10-17 06:19:30,2014-01-23 04:32:07
MNG-5183,Bug,Cannot Reproduce,Closed,2011-10-18 12:57:36,2012-11-14 02:29:11
MNG-5184,Bug,Incomplete,Closed,2011-10-19 00:12:57,2014-01-23 04:31:31
MNG-5185,Improvement,Unresolved,Reopened,2011-10-24 01:39:11,
MNG-5188,Bug,Fixed,Closed,2011-10-31 20:02:17,2015-01-22 21:22:20
MNG-5189,Improvement,Incomplete,Closed,2011-11-01 09:24:32,2014-01-23 04:32:02
MNG-5191,Bug,Not A Problem,Closed,2011-11-02 13:57:36,2011-11-05 19:05:22
MNG-5192,Bug,Fixed,Closed,2011-11-04 14:01:55,2011-11-04 14:02:48
MNG-5193,Improvement,Incomplete,Closed,2011-11-04 17:49:03,2014-01-23 04:31:55
MNG-5194,Improvement,Won't Fix,Closed,2011-11-06 00:26:32,2014-01-23 22:31:19
MNG-5195,Bug,Incomplete,Closed,2011-11-08 09:11:55,2014-01-23 04:31:55
MNG-5196,Improvement,Won't Fix,Closed,2011-11-08 11:06:44,2011-11-08 20:09:54
MNG-5197,Bug,Unresolved,Reopened,2011-11-10 00:31:19,
MNG-5198,Bug,Cannot Reproduce,Closed,2011-11-10 15:25:02,2012-11-14 02:31:52
MNG-5199,New Feature,Unresolved,Open,2011-11-10 16:22:10,
MNG-5200,Improvement,Fixed,Closed,2011-11-14 23:51:37,2011-11-15 19:51:07
MNG-5201,Improvement,Fixed,Closed,2011-11-17 15:12:55,2011-11-17 15:37:14
MNG-5203,Bug,Won't Fix,Closed,2011-11-21 22:24:45,2011-11-21 23:43:07
MNG-5205,Bug,Cannot Reproduce,Closed,2011-11-29 23:32:54,2015-05-01 08:10:11
MNG-5206,Bug,Fixed,Closed,2011-11-30 12:31:09,2011-12-08 00:55:35
MNG-5207,Bug,Unresolved,Open,2011-11-30 17:27:57,
MNG-5208,Bug,Fixed,Closed,2011-11-30 20:48:39,2012-12-02 12:08:57
MNG-5209,Bug,Fixed,Closed,2011-12-02 20:49:04,2011-12-11 10:48:21
MNG-5210,Bug,Incomplete,Closed,2011-12-05 11:54:25,2014-01-23 04:31:56
MNG-5211,Bug,Not A Problem,Closed,2011-12-06 15:37:27,2011-12-16 15:40:53
MNG-5212,Bug,Fixed,Closed,2011-12-06 16:11:23,2011-12-06 16:37:14
MNG-5213,Bug,Incomplete,Closed,2011-12-08 01:42:00,2014-01-23 04:31:59
MNG-5214,Bug,Fixed,Closed,2011-12-08 00:44:48,2014-01-19 22:12:15
MNG-5216,Bug,Incomplete,Closed,2011-12-13 15:40:11,2014-01-23 04:31:45
MNG-5217,Bug,Won't Fix,Closed,2011-12-13 19:08:07,2011-12-13 21:47:06
MNG-5218,Improvement,Incomplete,Closed,2011-12-13 21:30:07,2014-01-23 04:31:59
MNG-5219,Bug,Cannot Reproduce,Closed,2011-12-14 03:31:58,2019-07-25 05:11:44
MNG-5220,Bug,Incomplete,Closed,2011-12-22 09:20:29,2014-01-23 04:31:34
MNG-5221,Bug,Duplicate,Closed,2011-12-27 12:21:00,2012-01-06 10:18:24
MNG-5222,Wish,Unresolved,Reopened,2011-12-28 14:00:27,
MNG-5224,Bug,Fixed,Closed,2012-01-03 17:15:53,2012-01-04 22:45:24
MNG-5225,Bug,Fixed,Closed,2012-01-04 22:57:59,2012-01-04 23:16:06
MNG-5226,Bug,Incomplete,Closed,2012-01-13 13:11:15,2014-01-23 04:31:43
MNG-5227,New Feature,Unresolved,Reopened,2012-01-16 22:24:23,
MNG-5228,Bug,Incomplete,Closed,2012-01-19 01:01:42,2014-01-23 04:31:54
MNG-5229,Improvement,Incomplete,Closed,2012-01-19 17:21:19,2014-01-23 04:32:08
MNG-5230,New Feature,Fixed,Closed,2012-01-20 15:01:13,2014-01-09 01:14:46
MNG-5231,Bug,Incomplete,Closed,2012-01-20 21:35:40,2014-01-23 04:31:37
MNG-5233,Bug,Fixed,Closed,2012-01-23 11:08:52,2012-01-23 11:29:21
MNG-5234,Bug,Incomplete,Closed,2012-01-23 16:44:31,2014-01-23 04:31:26
MNG-5235,Bug,Not A Problem,Closed,2012-01-30 02:22:16,2012-01-30 12:16:28
MNG-5236,Improvement,Incomplete,Closed,2012-02-01 11:17:02,2014-01-23 04:31:58
MNG-5237,Bug,Auto Closed,Closed,2012-02-03 14:34:23,2018-03-17 06:40:22
MNG-5238,Bug,Incomplete,Closed,2012-02-03 19:54:12,2015-12-23 08:51:24
MNG-5239,Improvement,Fixed,Closed,2012-02-07 02:04:41,2013-03-31 11:45:28
MNG-5240,Task,Cannot Reproduce,Closed,2012-02-09 17:32:25,2012-11-14 02:41:28
MNG-5241,Bug,Incomplete,Closed,2012-02-10 00:58:01,2014-01-23 04:32:07
MNG-5242,Bug,Incomplete,Closed,2012-02-12 15:47:33,2014-01-23 04:31:44
MNG-5243,Improvement,Fixed,Closed,2012-02-13 22:21:58,2019-12-16 02:30:26
MNG-5244,Improvement,Incomplete,Closed,2012-02-14 16:12:53,2014-01-23 04:31:54
MNG-5245,Improvement,Fixed,Closed,2012-02-14 20:35:53,2012-11-17 00:05:30
MNG-5246,Improvement,Incomplete,Closed,2012-02-15 21:44:52,2014-01-23 04:31:59
MNG-5247,New Feature,Incomplete,Closed,2012-02-17 14:56:38,2014-01-23 04:31:55
MNG-5249,Bug,Incomplete,Closed,2012-02-20 18:18:06,2014-01-23 04:31:42
MNG-5250,Bug,Incomplete,Closed,2012-02-21 19:48:31,2014-01-23 04:31:32
MNG-5251,Bug,Incomplete,Closed,2012-02-22 13:22:06,2014-01-23 04:31:30
MNG-5252,Bug,Not A Problem,Closed,2012-02-22 16:16:32,2014-01-20 01:33:02
MNG-5253,Bug,Duplicate,Closed,2012-02-23 02:56:02,2012-07-06 02:55:19
MNG-5255,Bug,Cannot Reproduce,Closed,2012-02-29 01:23:36,2014-03-07 16:23:02
MNG-5256,Improvement,Won't Fix,Closed,2012-03-02 14:01:43,2014-01-20 01:33:34
MNG-5257,Bug,Incomplete,Closed,2012-03-08 20:17:13,2014-01-20 01:34:17
MNG-5258,Bug,Fixed,Closed,2012-03-12 13:19:45,2012-03-14 22:43:41
MNG-5259,Improvement,Won't Fix,Closed,2012-03-13 00:02:58,2014-01-19 22:30:08
MNG-5260,Improvement,Won't Fix,Closed,2012-03-13 00:16:46,2014-01-19 22:26:30
MNG-5261,Bug,Fixed,Closed,2012-03-14 20:20:56,2012-11-23 17:17:37
MNG-5263,Bug,Incomplete,Closed,2012-03-15 21:37:15,2014-01-23 04:32:03
MNG-5264,Improvement,Incomplete,Closed,2012-03-20 15:35:13,2014-01-23 04:31:51
