issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
PDFBOX-1003,Bug,Duplicate,Closed,2011-04-27 09:48:36,2011-04-27 13:34:57
PDFBOX-1004,Bug,Fixed,Closed,2011-04-27 09:49:17,2011-06-09 17:45:22
PDFBOX-1005,Improvement,Fixed,Closed,2011-04-27 18:46:56,2011-04-30 02:55:41
PDFBOX-1006,Improvement,Fixed,Closed,2011-04-27 18:49:47,2011-06-09 16:57:07
PDFBOX-1007,Bug,Fixed,Closed,2011-05-05 00:54:03,2014-07-03 08:41:00
PDFBOX-1008,Bug,Fixed,Closed,2011-05-12 00:00:42,2011-06-09 15:28:59
PDFBOX-1009,Bug,Fixed,Closed,2011-05-13 03:00:15,2011-05-13 03:08:49
PDFBOX-1010,Bug,Fixed,Closed,2011-05-13 19:30:24,2011-06-08 16:29:10
PDFBOX-1011,Bug,Fixed,Closed,2011-05-15 02:44:01,2014-11-10 19:37:31
PDFBOX-1012,Bug,Fixed,Closed,2011-05-15 23:32:03,2011-05-16 00:43:31
PDFBOX-1013,Bug,Fixed,Closed,2011-05-17 18:47:13,2011-06-08 18:31:12
PDFBOX-1014,Bug,Duplicate,Closed,2011-05-18 21:45:03,2011-05-19 22:22:18
PDFBOX-1015,Improvement,Invalid,Closed,2011-05-19 15:02:08,2014-10-11 09:30:21
PDFBOX-1016,Bug,Fixed,Closed,2011-05-19 22:13:13,2011-06-24 01:19:09
PDFBOX-1017,Improvement,Not A Problem,Closed,2011-05-23 14:51:50,2014-06-18 04:34:44
PDFBOX-1018,Improvement,Fixed,Closed,2011-05-26 13:41:49,2011-05-30 13:29:38
PDFBOX-1019,Bug,Fixed,Closed,2011-05-27 01:02:18,2014-01-21 03:00:00
PDFBOX-1020,Bug,Fixed,Closed,2011-05-29 17:35:29,2013-08-04 20:31:37
PDFBOX-1021,Improvement,Duplicate,Closed,2011-05-29 23:57:19,2011-06-02 05:19:26
PDFBOX-1022,Bug,Duplicate,Closed,2011-05-30 14:36:11,2011-05-31 00:42:10
PDFBOX-1023,Bug,Fixed,Closed,2011-05-31 07:50:15,2011-06-07 22:03:33
PDFBOX-1024,Bug,Not A Problem,Closed,2011-05-31 22:00:06,2011-06-26 01:34:40
PDFBOX-1025,Bug,Cannot Reproduce,Closed,2011-06-02 16:58:02,2014-10-14 02:25:56
PDFBOX-1026,Wish,Not A Problem,Closed,2011-06-02 17:08:43,2014-06-11 05:07:12
PDFBOX-1027,Improvement,Won't Fix,Closed,2011-06-02 23:15:52,2014-11-06 14:26:32
PDFBOX-1028,Bug,Abandoned,Closed,2011-06-03 01:46:20,2014-03-01 03:38:03
PDFBOX-1029,Bug,Fixed,Closed,2011-06-03 13:43:02,2011-06-07 16:27:25
PDFBOX-1030,Bug,Fixed,Closed,2011-06-05 00:34:42,2011-06-21 01:57:38
PDFBOX-1031,Bug,Fixed,Closed,2011-06-07 19:55:46,2017-01-30 03:13:16
PDFBOX-1032,Improvement,Fixed,Closed,2011-06-08 01:32:37,2011-06-26 01:01:24
PDFBOX-1033,Bug,Fixed,Closed,2011-06-08 17:52:49,2011-06-08 21:17:13
PDFBOX-1034,Bug,Fixed,Closed,2011-06-08 22:08:41,2011-06-08 22:27:32
PDFBOX-1035,Bug,Fixed,Closed,2011-06-09 06:56:31,2011-06-13 23:34:43
PDFBOX-1036,Bug,Fixed,Closed,2011-06-10 16:04:28,2014-11-03 19:47:58
PDFBOX-1037,Bug,Invalid,Closed,2011-06-13 23:24:06,2014-06-11 05:18:35
PDFBOX-1038,Bug,Fixed,Closed,2011-06-14 23:33:20,2014-10-24 02:26:52
PDFBOX-1039,Bug,Not A Problem,Closed,2011-06-17 16:02:52,2011-06-18 20:37:07
PDFBOX-1040,New Feature,Invalid,Closed,2011-06-17 16:30:42,2014-10-11 09:28:38
PDFBOX-1041,Bug,Fixed,Closed,2011-06-20 18:38:36,2011-06-29 01:42:36
PDFBOX-1042,Bug,Duplicate,Closed,2011-06-21 00:15:07,2011-06-21 22:51:44
PDFBOX-1043,New Feature,Fixed,Closed,2011-06-21 17:50:28,2011-06-26 01:32:12
PDFBOX-1044,Bug,Fixed,Closed,2011-06-22 00:09:43,2011-06-22 00:25:06
PDFBOX-1045,Bug,Fixed,Closed,2011-06-22 04:56:24,2011-06-22 04:58:35
PDFBOX-1046,Bug,Fixed,Closed,2011-06-22 17:40:53,2011-06-25 21:55:32
PDFBOX-1047,Bug,Fixed,Closed,2011-06-22 18:24:03,2011-07-04 02:08:03
PDFBOX-1048,Bug,Fixed,Closed,2011-06-24 14:12:54,2014-10-14 02:55:13
PDFBOX-1049,Bug,Fixed,Closed,2011-06-24 23:49:40,2011-06-25 15:17:44
PDFBOX-1050,New Feature,Fixed,Closed,2011-06-27 15:16:02,2011-06-29 01:55:13
PDFBOX-1051,Bug,Fixed,Closed,2011-06-27 19:00:52,2011-06-29 05:41:09
PDFBOX-1052,Bug,Fixed,Closed,2011-06-27 19:42:02,2011-06-29 01:17:39
PDFBOX-1053,Bug,Duplicate,Closed,2011-06-27 19:52:13,2011-11-12 20:49:01
PDFBOX-1054,New Feature,Fixed,Closed,2011-06-27 20:11:11,2013-11-12 03:02:34
PDFBOX-1055,Improvement,Fixed,Closed,2011-06-27 20:16:04,2014-06-24 00:46:54
PDFBOX-1056,Task,Fixed,Closed,2011-06-28 03:12:41,2011-07-27 04:32:16
PDFBOX-1057,Bug,Not A Problem,Closed,2011-07-02 01:00:52,2012-02-01 00:48:32
PDFBOX-1058,Bug,Fixed,Closed,2011-07-07 10:01:41,2014-02-27 04:58:10
PDFBOX-1059,Bug,Fixed,Closed,2011-07-07 21:05:15,2011-07-24 00:12:48
PDFBOX-1060,Bug,Fixed,Closed,2011-07-11 18:08:47,2014-11-10 19:27:53
PDFBOX-1061,Bug,Not A Problem,Closed,2011-07-13 18:05:25,2014-06-11 05:27:03
PDFBOX-1062,Bug,Invalid,Closed,2011-07-13 18:22:24,2011-07-18 04:42:39
PDFBOX-1063,Bug,Won't Fix,Closed,2011-07-13 23:08:18,2014-03-01 05:06:01
PDFBOX-1064,Bug,Not A Problem,Closed,2011-07-14 19:55:51,2011-07-23 23:58:34
PDFBOX-1065,Bug,Fixed,Closed,2011-07-15 06:30:17,2017-02-11 02:28:21
PDFBOX-1066,Bug,Not A Problem,Closed,2011-07-15 20:31:19,2014-10-24 02:19:13
PDFBOX-1067,New Feature,Fixed,Closed,2011-07-19 02:42:50,2012-11-18 22:36:19
PDFBOX-1068,Bug,Duplicate,Closed,2011-07-19 02:55:02,2014-04-23 00:23:39
PDFBOX-1069,Bug,Later,Closed,2011-07-19 03:25:56,2014-04-25 02:55:23
PDFBOX-1070,Bug,Invalid,Closed,2011-07-19 03:28:52,2014-02-10 06:10:42
PDFBOX-1071,Bug,Duplicate,Closed,2011-07-19 16:12:15,2014-12-12 12:37:08
PDFBOX-1072,Bug,Fixed,Closed,2011-07-19 20:59:24,2012-11-18 22:46:12
PDFBOX-1073,Bug,Incomplete,Closed,2011-07-20 17:54:05,2014-02-10 06:18:29
PDFBOX-1074,Bug,Fixed,Closed,2011-07-21 17:37:35,2014-03-26 14:50:52
PDFBOX-1075,Bug,Fixed,Closed,2011-07-25 21:21:25,2011-10-23 22:55:55
PDFBOX-1076,Bug,Abandoned,Closed,2011-07-26 00:27:51,2014-02-09 03:02:56
PDFBOX-1077,Bug,Duplicate,Closed,2011-07-26 03:32:17,2011-08-10 14:07:35
PDFBOX-1078,Bug,Not A Problem,Closed,2011-07-27 01:52:44,2014-06-11 05:29:18
