issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
TIKA-3009,Bug,Fixed,Resolved,2019-12-12 17:47:47,2020-10-31 04:07:41
TIKA-3010,Improvement,Fixed,Resolved,2019-12-13 03:33:04,2020-02-05 07:15:35
TIKA-3011,Task,Fixed,Resolved,2019-12-17 00:44:09,2019-12-17 20:28:28
TIKA-3012,Task,Fixed,Resolved,2019-12-17 03:14:04,2019-12-17 20:28:15
TIKA-3013,Task,Fixed,Resolved,2019-12-17 03:41:39,2019-12-17 20:27:58
TIKA-3014,Task,Unresolved,Open,2019-12-17 04:45:31,
TIKA-3015,Task,Fixed,Resolved,2019-12-17 05:43:34,2019-12-17 20:27:02
TIKA-3016,Task,Fixed,Resolved,2019-12-17 05:52:27,2019-12-17 20:26:44
TIKA-3017,Bug,Fixed,Resolved,2019-12-18 20:31:39,2020-02-25 02:56:59
TIKA-3018,Bug,Duplicate,Closed,2019-12-26 18:24:33,2020-01-12 04:38:53
TIKA-3019,Bug,Unresolved,Open,2019-12-30 20:11:02,
TIKA-3020,Bug,Fixed,Resolved,2020-01-06 18:45:32,2020-01-07 04:56:12
TIKA-3021,Improvement,Fixed,Resolved,2020-01-06 21:14:52,2020-01-07 04:56:28
TIKA-3022,Bug,Unresolved,Open,2020-01-08 15:23:57,
TIKA-3023,Bug,Fixed,Resolved,2020-01-09 02:22:04,2020-02-06 19:45:18
TIKA-3024,Bug,Unresolved,Open,2020-01-09 17:41:02,
TIKA-3025,New Feature,Incomplete,Closed,2020-01-14 16:31:10,2020-01-14 16:38:06
TIKA-3026,Task,Fixed,Resolved,2020-01-17 03:42:35,2020-02-25 03:02:14
TIKA-3027,Task,Unresolved,Open,2020-01-18 04:45:16,
TIKA-3028,Bug,Unresolved,Open,2020-01-25 06:25:27,
TIKA-3029,Improvement,Unresolved,Open,2020-01-27 17:12:51,
TIKA-3030,Bug,Fixed,Resolved,2020-01-29 02:37:27,2020-01-29 22:37:59
TIKA-3031,Bug,Fixed,Resolved,2020-01-29 18:53:44,2020-02-25 03:43:39
TIKA-3032,Bug,Unresolved,Open,2020-01-29 21:05:43,
TIKA-3033,Task,Fixed,Resolved,2020-01-30 00:45:50,2020-02-25 02:54:48
TIKA-3034,Bug,Unresolved,Open,2020-01-31 22:56:14,
TIKA-3035,Bug,Fixed,Resolved,2020-02-01 04:11:03,2020-03-03 07:10:00
TIKA-3036,Task,Unresolved,Open,2020-02-05 08:16:40,
TIKA-3037,Improvement,Fixed,Resolved,2020-02-05 23:24:35,2020-02-25 03:42:36
TIKA-3038,Task,Unresolved,Open,2020-02-06 02:35:31,
TIKA-3039,Task,Fixed,Resolved,2020-02-07 07:39:26,2020-02-29 00:46:52
TIKA-3040,Bug,Fixed,Resolved,2020-02-12 04:19:58,2020-02-25 03:00:38
TIKA-3041,Task,Fixed,Resolved,2020-02-12 22:02:59,2020-02-13 02:11:20
TIKA-3042,Task,Fixed,Resolved,2020-02-13 20:15:10,2020-03-03 07:10:29
TIKA-3043,Bug,Unresolved,Open,2020-02-14 01:24:32,
TIKA-3044,New Feature,Fixed,Resolved,2020-02-14 14:43:27,2020-10-08 02:06:56
TIKA-3045,Task,Fixed,Resolved,2020-02-14 20:38:37,2020-02-25 02:53:50
TIKA-3046,Task,Unresolved,Open,2020-02-15 00:49:03,
TIKA-3047,Task,Fixed,Resolved,2020-02-15 05:59:15,2020-02-25 02:55:10
TIKA-3048,Bug,Fixed,Closed,2020-02-19 22:17:37,2020-02-26 20:34:24
TIKA-3049,Task,Unresolved,Open,2020-02-21 01:26:07,
TIKA-3050,Task,Fixed,Resolved,2020-02-21 06:03:17,2020-02-25 02:53:15
TIKA-3051,Bug,Duplicate,Resolved,2020-02-21 18:26:31,2020-02-22 03:07:41
TIKA-3052,Bug,Fixed,Resolved,2020-02-21 18:27:28,2020-02-25 02:52:15
TIKA-3053,Bug,Fixed,Closed,2020-02-21 18:28:24,2020-02-21 18:29:43
